id,type,detail_name,recipe_id,label_smoothing_default,mixup_alpha_default,cutmix_alpha_default,auto_augment_policy,random_erasing_default,train_crop_size,val_resize_size,val_crop_size,preprocessing_mean,preprocessing_std,classifier_head_field,feature_extraction_supported,notes,evidence_ids
torchvision_resnet50_imagenet_v1_training_details,ImageClassificationRecipeDetails,Torchvision ResNet-50 ImageNet V1 training image-classification details,torchvision_resnet50_imagenet_v1_training,,,,,,,256,224,0.485|0.456|0.406,0.229|0.224|0.225,,,Task-specific fields split from training_recipes.csv for image-classification recipes.,evidence_torchvision_classification_reference|evidence_torchvision_resnet50_docs
torchvision_resnet50_imagenet_v2_training_details,ImageClassificationRecipeDetails,Torchvision ResNet-50 ImageNet V2 training recipe image-classification details,torchvision_resnet50_imagenet_v2_training,0.1,0.2,1.0,ta_wide,0.1,176,232,224,,,,,Task-specific fields split from training_recipes.csv for image-classification recipes.,evidence_pytorch_resnet50_sota_recipe|evidence_torchvision_resnet50_docs
torchvision_resnet50_imagenet_pretrained_custom_finetune_details,ImageClassificationRecipeDetails,Torchvision ResNet-50 ImageNet-pretrained custom classification fine-tuning image-classification details,torchvision_resnet50_imagenet_pretrained_custom_finetune,,,,,,224,232,224,0.485|0.456|0.406,0.229|0.224|0.225,model.fc,true,Task-specific fields split from training_recipes.csv for image-classification recipes. The fine-tuning defaults adapt the PyTorch ResNet18 tutorial while validation preprocessing follows ResNet50 DEFAULT/IMAGENET1K_V2 weight metadata.,evidence_pytorch_transfer_learning_tutorial|evidence_torchvision_resnet50_docs
torchvision_mobilenetv2_imagenet_v1_training_details,ImageClassificationRecipeDetails,Torchvision MobileNet V2 ImageNet V1 training details,torchvision_mobilenetv2_imagenet_v1_training,,,,,,,256,224,0.485|0.456|0.406,0.229|0.224|0.225,model.classifier[1],true,"V1 weights use bilinear resize 256 and center crop 224 for validation/inference; the classifier Linear layer is classifier[1].",evidence_torchvision_mobilenetv2_docs|evidence_torchvision_mobilenetv2_source|evidence_torchvision_classification_reference
torchvision_mobilenetv2_imagenet_v2_training_details,ImageClassificationRecipeDetails,Torchvision MobileNet V2 ImageNet V2 training details,torchvision_mobilenetv2_imagenet_v2_training,0.1,0.2,1.0,ta_wide,0.1,224,232,224,0.485|0.456|0.406,0.229|0.224|0.225,model.classifier[1],true,"V2 recipe uses repeated augmentation with four repetitions, EMA, no normalization-layer weight decay, and validation resize 232/crop 224; the classifier Linear layer is classifier[1].",evidence_torchvision_mobilenetv2_v2_recipe|evidence_torchvision_mobilenetv2_docs|evidence_torchvision_mobilenetv2_source
torchvision_mobilenetv2_imagenet_qnnpack_qat_details,ImageClassificationRecipeDetails,Torchvision MobileNet V2 QNNPACK QAT details,torchvision_mobilenetv2_imagenet_qnnpack_qat,,,,,,224,256,224,0.485|0.456|0.406,0.229|0.224|0.225,model.classifier[1],,"QAT starts from V1 weights and retains V1 preprocessing; feature-extraction support is unspecified. The produced pretrained INT8 QNNPACK model is intended for CPU inference.",evidence_torchvision_classification_reference|evidence_torchvision_mobilenetv2_quantized_docs
torchvision_mobilenetv2_imagenet_v1_custom_finetune_details,ImageClassificationRecipeDetails,Torchvision MobileNet V2 V1-pretrained custom fine-tuning details,torchvision_mobilenetv2_imagenet_v1_custom_finetune,,,,,,224,256,224,0.485|0.456|0.406,0.229|0.224|0.225,model.classifier[1],true,"Replace classifier[1] for custom labels; optionally freeze features for fixed-feature extraction; use the exact V1 weights transforms for evaluation.",evidence_pytorch_transfer_learning_tutorial|evidence_torchvision_mobilenetv2_docs|evidence_torchvision_mobilenetv2_source
torchvision_mobilenetv2_imagenet_v2_custom_finetune_details,ImageClassificationRecipeDetails,Torchvision MobileNet V2 V2-pretrained custom fine-tuning details,torchvision_mobilenetv2_imagenet_v2_custom_finetune,,,,,,224,232,224,0.485|0.456|0.406,0.229|0.224|0.225,model.classifier[1],true,"Replace classifier[1] for custom labels; optionally freeze features for fixed-feature extraction; use the exact V2/DEFAULT weights transforms for evaluation.",evidence_pytorch_transfer_learning_tutorial|evidence_torchvision_mobilenetv2_docs|evidence_torchvision_mobilenetv2_source
densenet121_luatorch_imagenet_v1_training_details,ImageClassificationRecipeDetails,DenseNet-121 LuaTorch ImageNet reference details,densenet121_luatorch_imagenet_v1_training,,,,,,,,,,,model.classifier,,"Training augmentation and normalization fields are blank because the cited example command does not state them. TorchVision's resize-256/crop-224 transform applies to evaluation of the ported weight and is recorded on the benchmark and fine-tuning recipe instead.",evidence_densenet_author_repo|evidence_torchvision_densenet_source
densenet121_imagenet_v1_adapted_custom_finetune_details,ImageClassificationRecipeDetails,Adapted DenseNet-121 ImageNet V1 full fine-tuning details,densenet121_imagenet_v1_adapted_custom_finetune,,,,,,224,256,224,0.485|0.456|0.406,0.229|0.224|0.225,model.classifier,true,"Replace model.classifier for custom labels and use weights.transforms() for evaluation. Full fine-tuning updates all parameters; fixed-feature extraction and staged fine-tuning keep model.classifier trainable while the feature extractor is frozen.",evidence_pytorch_transfer_learning_tutorial|evidence_torchvision_densenet121_docs|evidence_torchvision_densenet_source
torchvision_convnext_tiny_imagenet_v1_training_details,ImageClassificationRecipeDetails,Torchvision ConvNeXt Tiny ImageNet V1 training details,torchvision_convnext_tiny_imagenet_v1_training,0.1,0.2,1.0,ta_wide,0.1,176,236,224,0.485|0.456|0.406,0.229|0.224|0.225,model.classifier[2],,"Official regularized training recipe and ConvNeXt Tiny-specific post-training optimized validation resize of 236.",evidence_torchvision_classification_reference|evidence_torchvision_convnext_tiny_docs|evidence_torchvision_convnext_source
torchvision_convnext_tiny_imagenet_v1_adapted_custom_finetune_details,ImageClassificationRecipeDetails,Adapted ConvNeXt Tiny ImageNet V1 full fine-tuning details,torchvision_convnext_tiny_imagenet_v1_adapted_custom_finetune,0,,,,,224,236,224,0.485|0.456|0.406,0.229|0.224|0.225,model.classifier[2],true,"Replace classifier[2], update all parameters, and use weights.transforms() for validation and inference. Fixed-feature extraction is supported by freezing every parameter except classifier[2].",evidence_pytorch_transfer_learning_tutorial|evidence_torchvision_convnext_tiny_docs|evidence_torchvision_convnext_source
torchvision_mobilenetv3_imagenet_v1_training_details,ImageClassificationRecipeDetails,Torchvision MobileNetV3 ImageNet V1 training image-classification details,torchvision_mobilenetv3_imagenet_v1_training,,,,imagenet,0.2,224,256,224,0.485|0.456|0.406,0.229|0.224|0.225,model.classifier[3],,Task-specific fields for MobileNetV3 V1 ImageNet training. TorchVision docs define 256 resize and 224 center crop for V1 weights.,evidence_torchvision_classification_reference|evidence_torchvision_mobilenetv3_large_docs|evidence_torchvision_mobilenetv3_small_docs|evidence_torchvision_mobilenetv3_source
torchvision_mobilenetv3_large_imagenet_v2_training_details,ImageClassificationRecipeDetails,Torchvision MobileNetV3 Large ImageNet V2 training image-classification details,torchvision_mobilenetv3_large_imagenet_v2_training,0.1,0.2,1.0,ta_wide,0.1,,232,224,0.485|0.456|0.406,0.229|0.224|0.225,model.classifier[3],,Task-specific fields for MobileNetV3 Large V2 recipe with regularization tuning. TorchVision docs define 232 resize and 224 center crop for V2 weights.,evidence_torchvision_mobilenetv3_v2_recipe_issue|evidence_torchvision_mobilenetv3_large_docs|evidence_torchvision_mobilenetv3_source
