id,type,detail_name,recipe_id,confidence_threshold_default,nms_iou_threshold_default,mosaic_default,mixup_default,copy_paste_default,degrees_default,hsv_h_default,hsv_s_default,hsv_v_default,close_mosaic_default,notes,evidence_ids
ultralytics_yolo_detection_finetune_balanced_details,ObjectDetectionRecipeDetails,Ultralytics YOLO object detection fine-tuning balanced object-detection details,ultralytics_yolo_detection_finetune_balanced,0.25,0.7,1.0,0.0,0.0,0.0,0.015,0.7,0.4,10,Task-specific fields split from training_recipes.csv for object-detection recipes.,evidence_ultralytics_train_docs|evidence_ultralytics_cfg_docs|evidence_ultralytics_hpo_docs|evidence_ultralytics_yolov8_docs|evidence_ultralytics_yolov10_docs|evidence_ultralytics_yolo11_docs|evidence_ultralytics_yolo12_docs
rtdetr_objects365_to_coco_finetune_details,ObjectDetectionRecipeDetails,RT-DETR Objects365-pretrained COCO fine-tuning object-detection details,rtdetr_objects365_to_coco_finetune,,,0.0,0.0,0.0,0.0,,,,,Task-specific fields split from training_recipes.csv for object-detection recipes.,evidence_rtdetr_paper|evidence_rtdetr_pytorch_config
ultralytics_rtdetr_l_coco_pretrained_custom_finetune_details,ObjectDetectionRecipeDetails,Ultralytics RT-DETR-L custom-data fine-tuning details,ultralytics_rtdetr_l_coco_pretrained_custom_finetune,0.25,0.0,1.0,0.0,0.0,0.0,0.015,0.7,0.4,10,"Training uses the dedicated Ultralytics RT-DETR dataset with augmentation enabled; validation, testing, and inference use the RT-DETR validator/predictor without training augmentation or NMS.",evidence_ultralytics_rtdetr_docs|evidence_ultralytics_rtdetr_train_api|evidence_ultralytics_cfg_docs
ultralytics_rtdetr_l_coco_pretrained_custom_finetune_high_throughput_details,ObjectDetectionRecipeDetails,Ultralytics RT-DETR-L high-throughput custom-data fine-tuning details,ultralytics_rtdetr_l_coco_pretrained_custom_finetune_high_throughput,0.25,0.0,1.0,0.0,0.0,0.0,0.015,0.7,0.4,10,"Training uses the dedicated Ultralytics RT-DETR dataset and the same transformations as the conservative executable recipe; only the hardware-targeted batch default changes.",evidence_ultralytics_rtdetr_docs|evidence_ultralytics_rtdetr_train_api|evidence_ultralytics_cfg_docs|evidence_rtdetr_paper|evidence_rtdetr_pytorch_config
torchvision_retinanet_resnet50_fpn_coco_training_details,ObjectDetectionRecipeDetails,Torchvision RetinaNet ResNet-50-FPN COCO training with pretrained backbone object-detection details,torchvision_retinanet_resnet50_fpn_coco_training,0.05,0.5,,,,,,,,,Task-specific fields split from training_recipes.csv for object-detection recipes.,evidence_torchvision_detection_reference|evidence_torchvision_retinanet_docs|evidence_lin_focal_loss
torchvision_retinanet_resnet50_fpn_coco_pretrained_custom_finetune_details,ObjectDetectionRecipeDetails,Torchvision RetinaNet ResNet-50-FPN COCO-pretrained custom fine-tuning details,torchvision_retinanet_resnet50_fpn_coco_pretrained_custom_finetune,0.05,0.5,,,,,,,,,Post-processing defaults follow the official Torchvision RetinaNet implementation.,evidence_torchvision_retinanet_docs|evidence_torchvision_retinanet_source
detectron2_retinanet_r50_fpn_coco_pretrained_finetune_details,ObjectDetectionRecipeDetails,Detectron2 RetinaNet R50-FPN COCO-pretrained custom fine-tuning object-detection details,detectron2_retinanet_r50_fpn_coco_pretrained_finetune,0.05,0.5,,,,,,,,,Task-specific fields split from training_recipes.csv for object-detection recipes.,evidence_detectron2_training_docs|evidence_detectron2_custom_dataset_docs|evidence_detectron2_retinanet_config|evidence_detectron2_model_zoo|evidence_lin_focal_loss
torchvision_fasterrcnn_resnet50_fpn_coco_pretrained_finetune_details,ObjectDetectionRecipeDetails,Torchvision Faster R-CNN ResNet-50-FPN COCO-pretrained custom fine-tuning object-detection details,torchvision_fasterrcnn_resnet50_fpn_coco_pretrained_finetune,,,,,,,,,,,Task-specific fields split from training_recipes.csv for object-detection recipes.,evidence_torchvision_detection_finetuning_tutorial|evidence_torchvision_detection_reference|evidence_torchvision_fasterrcnn_docs
torchvision_fasterrcnn_resnet50_fpn_coco_pretrained_custom_finetune_details,ObjectDetectionRecipeDetails,Torchvision Faster R-CNN ResNet-50-FPN COCO-pretrained custom fine-tuning details,torchvision_fasterrcnn_resnet50_fpn_coco_pretrained_custom_finetune,0.05,0.5,,,,,,,,,Post-processing defaults follow the official Torchvision Faster R-CNN implementation.,evidence_torchvision_fasterrcnn_docs|evidence_torchvision_fasterrcnn_source
detectron2_fasterrcnn_r50_fpn_coco_pretrained_finetune_details,ObjectDetectionRecipeDetails,Detectron2 Faster R-CNN R50-FPN COCO-pretrained custom fine-tuning object-detection details,detectron2_fasterrcnn_r50_fpn_coco_pretrained_finetune,,,,,,,,,,,Task-specific fields split from training_recipes.csv for object-detection recipes.,evidence_detectron2_training_docs|evidence_detectron2_custom_dataset_docs|evidence_detectron2_fasterrcnn_config|evidence_detectron2_fasterrcnn_model_zoo|evidence_faster_rcnn_paper
torchvision_ssd300_vgg16_imagenet_backbone_custom_training_details,ObjectDetectionRecipeDetails,Torchvision SSD300 VGG16 custom training with pretrained backbone object-detection details,torchvision_ssd300_vgg16_imagenet_backbone_custom_training,0.01,0.45,,,,,,,,,Task-specific fields split from training_recipes.csv for object-detection recipes.,evidence_torchvision_detection_reference|evidence_torchvision_ssd_docs|evidence_torchvision_ssd_source
