id,type,recipe_id,param_name,param_value,notes,evidence_ids
param_ultralytics_yolo_auto_batch,TrainingRecipeParameter,ultralytics_yolo_detection_finetune_balanced,batch,-1,Use automatic batch sizing when CUDA memory is constrained.,evidence_ultralytics_train_docs|evidence_ultralytics_cfg_docs
param_ultralytics_yolo_lrf,TrainingRecipeParameter,ultralytics_yolo_detection_finetune_balanced,final_learning_rate_factor,0.01,Final linear learning-rate factor from the documented Ultralytics configuration default.,evidence_ultralytics_cfg_docs
param_mobilenetv2_v1_lr_gamma,TrainingRecipeParameter,torchvision_mobilenetv2_imagenet_v1_training,lr_gamma,0.98,Decay learning rate every epoch with StepLR gamma 0.98.,evidence_torchvision_classification_reference
param_mobilenetv2_v2_norm_weight_decay,TrainingRecipeParameter,torchvision_mobilenetv2_imagenet_v2_training,norm_weight_decay,0.0,Do not apply weight decay to normalization parameters in the V2 recipe.,evidence_torchvision_mobilenetv2_v2_recipe
param_mobilenetv2_v2_ra_reps,TrainingRecipeParameter,torchvision_mobilenetv2_imagenet_v2_training,ra_reps,4,Use repeated augmentation sampling with four repetitions.,evidence_torchvision_mobilenetv2_v2_recipe
param_mobilenetv2_v2_ema_decay,TrainingRecipeParameter,torchvision_mobilenetv2_imagenet_v2_training,model_ema_decay,0.99998,EMA decay from the TorchVision new recipe description linked by the V2 weights.,evidence_torchvision_mobilenetv2_v2_recipe
param_mobilenetv2_qat_backend,TrainingRecipeParameter,torchvision_mobilenetv2_imagenet_qnnpack_qat,qbackend,qnnpack,Quantization backend for the official pretrained INT8 weights.,evidence_torchvision_classification_reference|evidence_torchvision_mobilenetv2_quantized_docs
param_mobilenetv2_qat_observer_epochs,TrainingRecipeParameter,torchvision_mobilenetv2_imagenet_qnnpack_qat,num_observer_update_epochs,4,Number of epochs during which quantization observers are updated.,evidence_torchvision_classification_reference
param_mobilenetv2_qat_batch_norm_epochs,TrainingRecipeParameter,torchvision_mobilenetv2_imagenet_qnnpack_qat,num_batch_norm_update_epochs,3,Number of epochs during which batch-normalization statistics are updated in QAT.,evidence_torchvision_classification_reference
param_mobilenetv2_qat_lr_step_size,TrainingRecipeParameter,torchvision_mobilenetv2_imagenet_qnnpack_qat,lr_step_size,30,Official QAT StepLR interval.,evidence_torchvision_classification_reference
param_mobilenetv2_qat_lr_gamma,TrainingRecipeParameter,torchvision_mobilenetv2_imagenet_qnnpack_qat,lr_gamma,0.1,Official QAT StepLR decay factor.,evidence_torchvision_classification_reference
param_mobilenetv2_v1_finetune_step_size,TrainingRecipeParameter,torchvision_mobilenetv2_imagenet_v1_custom_finetune,scheduler_step_size,7,Transfer-learning tutorial baseline decays LR every seven epochs; param_name uses the executable schema field.,evidence_pytorch_transfer_learning_tutorial
param_mobilenetv2_v1_finetune_lr_gamma,TrainingRecipeParameter,torchvision_mobilenetv2_imagenet_v1_custom_finetune,scheduler_gamma,0.1,Transfer-learning tutorial baseline multiplies LR by 0.1 at each step; param_name uses the executable schema field.,evidence_pytorch_transfer_learning_tutorial
param_mobilenetv2_v2_finetune_step_size,TrainingRecipeParameter,torchvision_mobilenetv2_imagenet_v2_custom_finetune,scheduler_step_size,7,Transfer-learning tutorial baseline decays LR every seven epochs; param_name uses the executable schema field.,evidence_pytorch_transfer_learning_tutorial
