epoch,train_loss,train_acc,val_loss,val_acc,macro_f1,micro_f1,tracked
1,0.383160,0.887333,0.057060,0.982000,0.982067,0.982000,0.982000
2,0.119572,0.966083,0.044823,0.988000,0.988003,0.988000,0.988000
3,0.074824,0.979167,0.037835,0.989333,0.989361,0.989333,0.989333
4,0.060551,0.983333,0.023320,0.992000,0.991993,0.992000,0.992000
5,0.049643,0.985333,0.046369,0.988667,0.988674,0.988667,0.988667
6,0.045872,0.986500,0.043170,0.988667,0.988661,0.988667,0.988667
7,0.032847,0.990250,0.046117,0.984667,0.984670,0.984667,0.984667
8,0.028230,0.992583,0.023689,0.994667,0.994660,0.994667,0.994667
9,0.025970,0.992250,0.023438,0.994667,0.994657,0.994667,0.994667
10,0.022732,0.993833,0.024074,0.994667,0.994657,0.994667,0.994667
11,0.018595,0.995583,0.024855,0.994000,0.993993,0.994000,0.994000
12,0.022258,0.993667,0.025016,0.994667,0.994657,0.994667,0.994667
13,0.022017,0.993250,0.023713,0.995333,0.995329,0.995333,0.995333
14,0.021821,0.993333,0.024492,0.995333,0.995331,0.995333,0.995333
15,0.018129,0.995083,0.024791,0.994667,0.994660,0.994667,0.994667
16,0.015653,0.995417,0.024552,0.995333,0.995329,0.995333,0.995333
17,0.019439,0.994500,0.024311,0.994667,0.994657,0.994667,0.994667
18,0.019213,0.994500,0.024552,0.995333,0.995329,0.995333,0.995333
