epoch,train_loss,train_acc,val_loss,val_acc,macro_f1,micro_f1,tracked
1,0.381801,0.888583,0.095547,0.972000,0.972060,0.972000,0.972000
2,0.120811,0.962750,0.044237,0.988000,0.987997,0.988000,0.988000
3,0.078953,0.977333,0.048453,0.987333,0.987270,0.987333,0.987333
4,0.060677,0.983250,0.034548,0.989333,0.989325,0.989333,0.989333
5,0.054127,0.983500,0.026366,0.992667,0.992655,0.992667,0.992667
6,0.044591,0.987333,0.026669,0.992667,0.992673,0.992667,0.992667
7,0.039237,0.988417,0.026349,0.992667,0.992659,0.992667,0.992667
8,0.029043,0.991250,0.022591,0.995333,0.995329,0.995333,0.995333
9,0.022115,0.993333,0.021083,0.995333,0.995331,0.995333,0.995333
10,0.023673,0.992583,0.022265,0.995333,0.995329,0.995333,0.995333
11,0.019737,0.994583,0.021631,0.996000,0.995998,0.996000,0.996000
12,0.021425,0.993083,0.020475,0.996000,0.995998,0.996000,0.996000
13,0.017654,0.994583,0.020184,0.996000,0.995998,0.996000,0.996000
14,0.018981,0.994917,0.019302,0.996000,0.995998,0.996000,0.996000
