epoch,train_loss,train_acc,val_loss,val_acc,macro_f1,micro_f1,tracked
1,1.153477,0.684417,0.430635,0.882000,0.878890,0.882000,0.882000
2,0.249029,0.925917,0.071882,0.981333,0.981279,0.981333,0.981333
3,0.151485,0.958500,0.076313,0.980667,0.980533,0.980667,0.980667
4,0.106160,0.971417,0.101839,0.968667,0.968798,0.968667,0.968667
5,0.105051,0.971583,0.045566,0.988000,0.987972,0.988000,0.988000
6,0.105521,0.972083,0.094675,0.969333,0.969542,0.969333,0.969333
7,0.116417,0.968750,0.095240,0.971333,0.971467,0.971333,0.971333
8,0.117914,0.968750,0.059705,0.982667,0.982707,0.982667,0.982667
9,0.116333,0.970417,0.050748,0.986667,0.986692,0.986667,0.986667
10,0.122327,0.969833,0.082799,0.981333,0.981351,0.981333,0.981333
