epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,197.595,3.05909,2.6821,1.45843,0.3918,0.27919,0.22278,0.07401,2.65706,2.3001,1.3055,0.000332959,0.000332959,0.0670371
2,374.964,2.70473,2.25035,1.32858,0.40433,0.28175,0.249,0.08791,2.51901,2.05004,1.2398,0.000655298,0.000655298,0.0340261
3,552.069,2.59448,2.12943,1.28461,0.39383,0.30639,0.26868,0.09577,2.43213,1.96432,1.23295,0.000966638,0.000966638,0.00100409
4,729.131,2.51774,2.03307,1.25824,0.39957,0.32722,0.28395,0.10693,2.38297,1.85378,1.20297,0.0009505,0.0009505,0.0009505
5,905.967,2.43153,1.95415,1.2237,0.45571,0.36033,0.33926,0.12667,2.27142,1.82256,1.17155,0.000934,0.000934,0.000934
6,1082.24,2.37854,1.88313,1.20506,0.43438,0.34652,0.30567,0.11225,2.28335,1.92212,1.14573,0.0009175,0.0009175,0.0009175
7,1258.82,2.35397,1.8372,1.18469,0.47967,0.36986,0.34672,0.13689,2.2106,1.71614,1.13718,0.000901,0.000901,0.000901
8,1435.52,2.28748,1.77309,1.14175,0.50358,0.38023,0.37019,0.14121,2.1695,1.66653,1.10113,0.0008845,0.0008845,0.0008845
9,1599.39,2.27625,1.74869,1.15245,0.50067,0.39964,0.39009,0.14353,2.15543,1.64436,1.10186,0.000868,0.000868,0.000868
10,1758.09,2.23073,1.72508,1.13423,0.4937,0.38783,0.38053,0.14771,2.18096,1.66312,1.11329,0.0008515,0.0008515,0.0008515
11,1916.36,2.23486,1.68361,1.12912,0.49819,0.37524,0.3703,0.149,2.11097,1.63207,1.08477,0.000835,0.000835,0.000835
12,2074.59,2.19146,1.64793,1.12903,0.53231,0.40559,0.41299,0.16391,2.11665,1.6165,1.09732,0.0008185,0.0008185,0.0008185
13,2233.23,2.18203,1.64339,1.11363,0.55396,0.4088,0.42137,0.16559,2.08949,1.56591,1.07674,0.000802,0.000802,0.000802
14,2392.29,2.15123,1.61322,1.10678,0.55954,0.41016,0.42564,0.16841,2.07834,1.54625,1.07711,0.0007855,0.0007855,0.0007855
15,2551.34,2.11533,1.5627,1.1026,0.52787,0.41646,0.41859,0.16928,2.08213,1.58621,1.07462,0.000769,0.000769,0.000769
16,2710.58,2.08898,1.54902,1.07448,0.54728,0.40832,0.42409,0.17042,2.05865,1.5456,1.06757,0.0007525,0.0007525,0.0007525
17,2870.23,2.08431,1.53628,1.09104,0.55657,0.43736,0.44017,0.18513,2.0377,1.4904,1.06455,0.000736,0.000736,0.000736
18,3029.55,2.06599,1.50078,1.06879,0.56049,0.44351,0.44394,0.18503,1.9912,1.48078,1.05648,0.0007195,0.0007195,0.0007195
19,3188.85,2.06555,1.50443,1.08145,0.56592,0.42251,0.43673,0.18146,2.0343,1.47616,1.06399,0.000703,0.000703,0.000703
20,3347.58,2.0411,1.48084,1.06327,0.53334,0.45022,0.44802,0.19005,1.98567,1.47434,1.04481,0.0006865,0.0006865,0.0006865
21,3506.96,2.01117,1.45615,1.06562,0.59541,0.44195,0.45769,0.19343,1.97791,1.46659,1.04592,0.00067,0.00067,0.00067
22,3666.21,1.99853,1.42719,1.06269,0.56684,0.42687,0.4418,0.18829,2.02254,1.47445,1.05727,0.0006535,0.0006535,0.0006535
23,3825.13,1.97972,1.41802,1.04629,0.55083,0.44192,0.44279,0.19233,1.97552,1.47138,1.04535,0.000637,0.000637,0.000637
