epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.522,0.52295,6.43194,0,0.10119,0.10447,0.03121,0.00734,0.49491,5.54675,0,0.000332934,0.000332934,0.0670395
2,232.323,0.48307,5.46709,0,0.16453,0.15274,0.06289,0.01603,0.46126,4.8798,0,0.000653075,0.000653075,0.0340263
3,338.598,0.46405,5.11539,0,0.22872,0.18769,0.10615,0.03011,0.43761,4.54786,0,0.000960017,0.000960017,0.000999937
4,443.788,0.45622,4.93284,0,0.19975,0.20243,0.09409,0.02612,0.41968,4.45573,0,0.0009406,0.0009406,0.0009406
5,550.104,0.43859,4.75616,0,0.23505,0.2211,0.12251,0.03686,0.40993,4.2132,0,0.0009208,0.0009208,0.0009208
6,654.735,0.43222,4.69936,0,0.19075,0.19723,0.09171,0.02706,0.40352,4.58969,0,0.000901,0.000901,0.000901
7,757.43,0.4459,4.76665,0,0.23818,0.23528,0.12074,0.03582,0.3941,4.24684,0,0.0008812,0.0008812,0.0008812
8,859.864,0.41936,4.51782,0,0.23257,0.23295,0.12495,0.03846,0.3908,4.17643,0,0.0008614,0.0008614,0.0008614
9,962.096,0.41377,4.48757,0,0.26506,0.25489,0.15997,0.05177,0.38366,4.00307,0,0.0008416,0.0008416,0.0008416
10,1062.69,0.41724,4.4185,0,0.25994,0.23682,0.13658,0.04132,0.39679,4.37607,0,0.0008218,0.0008218,0.0008218
11,1163.97,0.41817,4.40523,0,0.26755,0.2562,0.15196,0.04733,0.38445,4.12759,0,0.000802,0.000802,0.000802
12,1265.48,0.41565,4.41762,0,0.23597,0.24774,0.13295,0.04026,0.38473,4.19171,0,0.0007822,0.0007822,0.0007822
13,1366.87,0.41449,4.3621,0,0.28713,0.27064,0.1852,0.06317,0.37324,3.98579,0,0.0007624,0.0007624,0.0007624
14,1469.39,0.40952,4.32809,0,0.27846,0.26994,0.16038,0.05218,0.37451,4.05789,0,0.0007426,0.0007426,0.0007426
15,1573.98,0.40495,4.25866,0,0.2193,0.26662,0.1288,0.04179,0.36873,4.1284,0,0.0007228,0.0007228,0.0007228
16,1679.54,0.40483,4.25808,0,0.25467,0.26752,0.14587,0.04811,0.36912,4.01939,0,0.000703,0.000703,0.000703
17,1785.41,0.39728,4.2258,0,0.2534,0.26683,0.15535,0.04856,0.36863,3.99322,0,0.0006832,0.0006832,0.0006832
18,1894.97,0.39512,4.18932,0,0.28709,0.28831,0.17842,0.05801,0.35924,3.92923,0,0.0006634,0.0006634,0.0006634
