epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,190.573,1.98842,3.03459,2.01386,0.34477,0.45639,0.32661,0.1667,1.77158,2.33331,1.77691,0.00047588,0.00047588,0.00047588
2,344.764,1.95031,2.76935,1.95643,0.27681,0.39903,0.31478,0.16102,1.83444,2.30547,1.74085,0.000939644,0.000939644,0.000939644
3,492.688,1.90691,2.739,1.9419,0.36404,0.44369,0.34182,0.19248,1.67172,2.23725,1.7032,0.00139083,0.00139083,0.00139083
4,639.868,1.83149,2.63537,1.88447,0.43311,0.51993,0.38239,0.20751,1.63129,2.07524,1.65939,0.00137241,0.00137241,0.00137241
5,786.222,1.77561,2.56815,1.84564,0.40172,0.50029,0.37578,0.21501,1.63735,2.08819,1.65116,0.00135355,0.00135355,0.00135355
6,932.286,1.74475,2.4872,1.81664,0.40879,0.51872,0.40999,0.22546,1.58538,1.94748,1.61234,0.00133469,0.00133469,0.00133469
7,1078.67,1.71128,2.40333,1.80079,0.4677,0.51933,0.42043,0.24002,1.57374,1.93819,1.59319,0.00131582,0.00131582,0.00131582
8,1225.45,1.66998,2.35999,1.7641,0.49829,0.52691,0.45931,0.2678,1.50904,1.86872,1.55951,0.00129696,0.00129696,0.00129696
9,1372.2,1.65066,2.30819,1.75151,0.47567,0.55922,0.48094,0.28305,1.48145,1.85389,1.54025,0.0012781,0.0012781,0.0012781
10,1518.01,1.63185,2.29255,1.72899,0.5792,0.52379,0.52185,0.2969,1.53006,1.82321,1.53633,0.00125923,0.00125923,0.00125923
11,1663.34,1.61377,2.22417,1.72382,0.56932,0.52057,0.52125,0.31289,1.46961,1.80195,1.50397,0.00124037,0.00124037,0.00124037
12,1816.88,1.59932,2.21545,1.71059,0.55698,0.56149,0.54704,0.33962,1.44845,1.7286,1.50528,0.00122151,0.00122151,0.00122151
13,1972.05,1.59799,2.17055,1.7019,0.63002,0.53685,0.55965,0.32028,1.50407,1.72914,1.51548,0.00120265,0.00120265,0.00120265
14,2125.76,1.56668,2.1282,1.68738,0.56139,0.53813,0.53673,0.33046,1.3986,1.73283,1.47792,0.00118378,0.00118378,0.00118378
15,2277.85,1.56392,2.11424,1.6692,0.58604,0.5863,0.56623,0.34721,1.43369,1.65176,1.49316,0.00116492,0.00116492,0.00116492
