epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,411.309,2.24526,1.99681,1.42914,0.32313,0.25169,0.22068,0.11157,1.71644,1.2423,1.1908,0.0133278,0.00444259,0.0133278,0.00444259,0.0133278,0.00444259,0.0133278,0.00444259
2,717.966,1.8947,1.47778,1.24142,0.3095,0.27855,0.21937,0.10679,1.70404,1.20448,1.18093,0.0263092,0.00876973,0.0263092,0.00876973,0.0263092,0.00876973,0.0263092,0.00876973
3,1018.29,1.85226,1.39298,1.22078,0.33644,0.30612,0.24936,0.12718,1.60233,1.13813,1.1402,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
4,1317.9,1.7739,1.30539,1.18748,0.37148,0.28479,0.26684,0.14092,1.54076,1.08072,1.11497,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
5,1617.77,1.73119,1.25666,1.1708,0.37771,0.30955,0.27813,0.14794,1.52682,1.05411,1.10705,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
6,1916.84,1.70255,1.22994,1.15766,0.41385,0.31945,0.30066,0.15948,1.49055,1.01276,1.08697,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
7,2217.11,1.67188,1.19547,1.14358,0.40969,0.32363,0.29828,0.16012,1.47157,0.99894,1.08472,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
8,2517.52,1.6513,1.17484,1.13329,0.46461,0.31945,0.32476,0.17812,1.44928,0.96943,1.07839,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
9,2816.58,1.63065,1.1515,1.12388,0.43371,0.34275,0.33017,0.18155,1.45022,0.97028,1.07181,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
10,3116.22,1.61534,1.1373,1.11599,0.46841,0.33653,0.33719,0.18442,1.42259,0.95717,1.06548,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
11,3414.51,1.60041,1.12372,1.11034,0.49024,0.33751,0.33749,0.18459,1.4297,0.96192,1.06468,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
12,3714.47,1.59048,1.11275,1.10718,0.47449,0.3373,0.34474,0.18648,1.41539,0.93939,1.0588,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
13,4014.78,1.57892,1.10286,1.10196,0.46668,0.35833,0.35534,0.19416,1.40976,0.93292,1.05399,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
14,4313.06,1.57147,1.09096,1.09539,0.48577,0.33938,0.35037,0.19515,1.39991,0.92887,1.04506,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
15,4612.12,1.5648,1.08734,1.09382,0.49195,0.35697,0.36691,0.2043,1.38303,0.90804,1.04343,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
16,4910.07,1.55286,1.07106,1.08902,0.49864,0.35342,0.3689,0.20448,1.39,0.90742,1.04335,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
17,5208.17,1.54331,1.06384,1.08712,0.47397,0.35132,0.3652,0.20387,1.38153,0.90445,1.04126,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
18,5508.89,1.53714,1.06188,1.08567,0.51813,0.37449,0.38561,0.2152,1.36727,0.89268,1.03645,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
19,5809.2,1.53115,1.05134,1.0813,0.50298,0.36447,0.37606,0.20631,1.36603,0.89144,1.03432,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
20,6109.9,1.52362,1.04167,1.07696,0.5039,0.36062,0.37356,0.20791,1.36849,0.88493,1.0366,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
21,6411.8,1.51757,1.0354,1.07475,0.49241,0.37729,0.38543,0.21896,1.34756,0.87104,1.03233,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
22,6713.08,1.50768,1.02777,1.06982,0.50642,0.376,0.39074,0.21994,1.34589,0.86919,1.02661,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
23,7014.39,1.50223,1.02525,1.06786,0.5015,0.38278,0.39366,0.21928,1.34865,0.87243,1.03021,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
24,7315.57,1.49695,1.01449,1.06573,0.53843,0.37447,0.39868,0.226,1.3423,0.85977,1.02573,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
25,7617.04,1.49753,1.01176,1.06456,0.53993,0.37748,0.39789,0.22683,1.33443,0.85904,1.02361,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
26,7917.38,1.49367,1.01292,1.06388,0.53274,0.39194,0.40627,0.22989,1.32947,0.85947,1.02296,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
27,8257.69,1.48668,1.00935,1.05916,0.52853,0.3848,0.40058,0.23085,1.32462,0.85381,1.02052,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
28,8586.6,1.4764,0.99842,1.05806,0.53093,0.38012,0.40079,0.23103,1.32747,0.84845,1.01992,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
29,8888.55,1.47523,0.99576,1.05912,0.54981,0.38559,0.4059,0.23068,1.32005,0.83854,1.01935,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
30,9191.4,1.4745,0.99415,1.05609,0.52797,0.39164,0.40472,0.23339,1.32053,0.84064,1.01476,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
31,9496.8,1.46605,0.9855,1.05244,0.54966,0.39432,0.41503,0.2365,1.31731,0.83596,1.01459,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
32,9799.37,1.46672,0.9829,1.0524,0.54241,0.39644,0.41899,0.237,1.31267,0.83073,1.01174,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
