epoch,train_loss,train_acc,val_loss,val_acc,macro_f1,micro_f1,tracked
1,0.391648,0.885250,0.063611,0.986000,0.986037,0.986000,0.986000
2,0.118277,0.965083,0.029288,0.994667,0.994660,0.994667,0.994667
3,0.083689,0.976250,0.046561,0.988000,0.987987,0.988000,0.988000
4,0.065060,0.979250,0.025972,0.994667,0.994682,0.994667,0.994667
5,0.048898,0.985417,0.032189,0.990000,0.989990,0.990000,0.990000
6,0.042122,0.986417,0.030374,0.993333,0.993329,0.993333,0.993333
7,0.040728,0.988417,0.020823,0.995333,0.995338,0.995333,0.995333
8,0.027670,0.992083,0.019315,0.996000,0.996000,0.996000,0.996000
9,0.022579,0.994333,0.019251,0.996000,0.996000,0.996000,0.996000
10,0.021358,0.994167,0.021017,0.994000,0.993990,0.994000,0.994000
11,0.023407,0.994167,0.019612,0.994667,0.994662,0.994667,0.994667
12,0.018961,0.994917,0.020742,0.995333,0.995333,0.995333,0.995333
13,0.021571,0.993417,0.020077,0.994000,0.993990,0.994000,0.994000
14,0.018331,0.994500,0.018691,0.994667,0.994662,0.994667,0.994667
15,0.020083,0.994750,0.019418,0.994667,0.994662,0.994667,0.994667
16,0.020869,0.994417,0.019316,0.994667,0.994662,0.994667,0.994667
17,0.018856,0.994667,0.018557,0.994667,0.994662,0.994667,0.994667
18,0.019059,0.994917,0.018554,0.995333,0.995331,0.995333,0.995333
19,0.016896,0.995000,0.019294,0.995333,0.995333,0.995333,0.995333
20,0.015895,0.995667,0.018855,0.994667,0.994662,0.994667,0.994667
21,0.019763,0.994583,0.018770,0.994667,0.994662,0.994667,0.994667
22,0.017252,0.994750,0.018424,0.994667,0.994662,0.994667,0.994667
23,0.018633,0.995250,0.019226,0.994667,0.994662,0.994667,0.994667
24,0.019062,0.994583,0.018496,0.994667,0.994662,0.994667,0.994667
25,0.018108,0.994333,0.018537,0.995333,0.995331,0.995333,0.995333
