epoch,train_loss,train_acc,val_loss,val_acc,macro_f1,micro_f1,tracked
1,0.948848,0.623500,0.813509,0.682667,0.671643,0.682667,0.671643
2,0.640847,0.763500,0.746229,0.720000,0.714148,0.720000,0.714148
3,0.526333,0.804000,0.708983,0.764000,0.759591,0.764000,0.759591
4,0.436177,0.839667,0.741553,0.728000,0.726158,0.728000,0.726158
5,0.369457,0.867000,0.784530,0.749333,0.745018,0.749333,0.745018
6,0.308904,0.885167,0.988209,0.717333,0.715996,0.717333,0.715996
7,0.242410,0.913667,1.081755,0.729333,0.724692,0.729333,0.724692
8,0.094204,0.970333,0.923635,0.749333,0.745395,0.749333,0.745395
9,0.062144,0.978833,0.935324,0.758667,0.755535,0.758667,0.755535
10,0.044932,0.987167,1.000872,0.760000,0.756521,0.760000,0.756521
11,0.039068,0.988667,1.023264,0.758667,0.753456,0.758667,0.753456
12,0.033669,0.991667,1.031558,0.753333,0.747935,0.753333,0.747935
13,0.028766,0.993333,1.070013,0.754667,0.748137,0.754667,0.748137
14,0.028921,0.991833,1.029180,0.760000,0.756374,0.760000,0.756374
15,0.022589,0.994833,1.043657,0.753333,0.749065,0.753333,0.749065
16,0.024256,0.993833,1.055775,0.753333,0.748912,0.753333,0.748912
17,0.021131,0.994667,1.055106,0.753333,0.748898,0.753333,0.748898
18,0.022680,0.993500,1.066590,0.754667,0.749945,0.754667,0.749945
19,0.020184,0.995167,1.054533,0.753333,0.748715,0.753333,0.748715
20,0.020043,0.995167,1.053835,0.754667,0.750288,0.754667,0.750288
21,0.023849,0.994167,1.059823,0.753333,0.749037,0.753333,0.749037
22,0.026120,0.993667,1.060633,0.753333,0.749037,0.753333,0.749037
23,0.022657,0.994500,1.060299,0.753333,0.749037,0.753333,0.749037
24,0.022099,0.993500,1.060482,0.753333,0.749037,0.753333,0.749037
25,0.023203,0.993667,1.060294,0.754667,0.750432,0.754667,0.750432
