epoch,train_loss,train_acc,val_loss,val_acc,macro_f1,micro_f1,tracked
1,2.195750,0.292833,2.123440,0.376000,0.286554,0.376000,0.376000
2,1.878759,0.410750,1.729904,0.496000,0.470055,0.496000,0.496000
3,1.977934,0.333833,1.792275,0.392000,0.369383,0.392000,0.392000
4,1.482824,0.524083,1.990562,0.304667,0.295902,0.304667,0.304667
5,1.107660,0.678750,2.117872,0.226667,0.200234,0.226667,0.226667
6,0.834667,0.777833,2.044640,0.254000,0.175492,0.254000,0.254000
7,0.659996,0.832250,1.848877,0.290667,0.273493,0.290667,0.290667
8,0.530999,0.870417,2.213735,0.179333,0.144225,0.179333,0.179333
9,0.430350,0.896250,2.101510,0.180667,0.155944,0.180667,0.180667
10,0.386243,0.911500,2.323159,0.127333,0.113615,0.127333,0.127333
11,0.330233,0.924750,2.394606,0.200667,0.185743,0.200667,0.200667
12,0.288092,0.933000,2.230575,0.252667,0.220046,0.252667,0.252667
