epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,268.777,2.86699,4.03999,2.6527,0.25142,0.18158,0.12087,0.04003,2.4324,2.81866,2.39776,0.000333148,0.000333148,0.0670183
2,505.35,2.1598,2.83745,2.08296,0.42039,0.36972,0.33813,0.15579,1.88491,2.17869,1.86367,0.000657684,0.000657684,0.0340095
3,740.964,1.86226,2.37845,1.79075,0.46491,0.47378,0.40413,0.21958,1.63435,1.94555,1.61762,0.00097342,0.00097342,0.000991938
4,976.502,1.74018,2.16828,1.66854,0.58497,0.4977,0.49811,0.28924,1.52349,1.76212,1.50036,0.0009604,0.0009604,0.0009604
5,1211.69,1.63732,2.01528,1.57392,0.67644,0.49472,0.54367,0.33148,1.45088,1.61379,1.43508,0.0009472,0.0009472,0.0009472
6,1446.6,1.57458,1.9161,1.51536,0.6111,0.54367,0.54984,0.3364,1.41045,1.561,1.39806,0.000934,0.000934,0.000934
7,1679.76,1.52759,1.84589,1.47558,0.67129,0.54441,0.57593,0.35179,1.38529,1.51697,1.37622,0.0009208,0.0009208,0.0009208
8,1915.4,1.47467,1.77156,1.43781,0.65027,0.54836,0.57631,0.36223,1.36432,1.47479,1.36644,0.0009076,0.0009076,0.0009076
9,2150,1.45133,1.72225,1.41932,0.66153,0.55011,0.58447,0.36883,1.34454,1.46044,1.3327,0.0008944,0.0008944,0.0008944
10,2385.2,1.40708,1.65625,1.38782,0.6959,0.55015,0.60241,0.38351,1.31542,1.45327,1.31745,0.0008812,0.0008812,0.0008812
11,2621.32,1.38456,1.60433,1.36703,0.68222,0.55456,0.59049,0.37628,1.31036,1.45591,1.31149,0.000868,0.000868,0.000868
12,2856.69,1.35483,1.56739,1.34583,0.6727,0.56759,0.59584,0.38459,1.30521,1.42406,1.31012,0.0008548,0.0008548,0.0008548
13,3091.68,1.33838,1.53942,1.33556,0.66899,0.58073,0.60892,0.39103,1.30469,1.40784,1.31324,0.0008416,0.0008416,0.0008416
14,3326.47,1.31123,1.49858,1.32362,0.69189,0.5668,0.59985,0.39483,1.2658,1.37734,1.29086,0.0008284,0.0008284,0.0008284
15,3561.43,1.29469,1.46271,1.30442,0.6856,0.56065,0.60542,0.39757,1.2764,1.39396,1.2865,0.0008152,0.0008152,0.0008152
16,3796.65,1.27092,1.43738,1.28808,0.68254,0.55457,0.59283,0.38811,1.26301,1.42197,1.28822,0.000802,0.000802,0.000802
17,4030.74,1.25617,1.40612,1.28181,0.70049,0.57028,0.61012,0.40327,1.28588,1.36549,1.29892,0.0007888,0.0007888,0.0007888
18,4263.84,1.23825,1.38436,1.27459,0.70117,0.56647,0.59738,0.39884,1.27121,1.38688,1.29329,0.0007756,0.0007756,0.0007756
19,4499.08,1.22209,1.35996,1.25845,0.69585,0.56741,0.60115,0.40183,1.27077,1.39337,1.28697,0.0007624,0.0007624,0.0007624
20,4734.64,1.20822,1.31875,1.25311,0.69592,0.56813,0.61355,0.41051,1.24513,1.38869,1.26964,0.0007492,0.0007492,0.0007492
21,4970.21,1.19978,1.30766,1.24152,0.72377,0.5578,0.60527,0.40486,1.27155,1.42832,1.29347,0.000736,0.000736,0.000736
22,5205.45,1.17613,1.28091,1.23209,0.72971,0.55282,0.60774,0.40475,1.25555,1.37933,1.29046,0.0007228,0.0007228,0.0007228
23,5440.09,1.17521,1.26192,1.22512,0.73711,0.54994,0.60911,0.40857,1.24203,1.36527,1.27387,0.0007096,0.0007096,0.0007096
24,5675.07,1.16891,1.24627,1.22052,0.73959,0.55872,0.60773,0.406,1.26389,1.3792,1.28839,0.0006964,0.0006964,0.0006964
25,5909.63,1.15186,1.21914,1.20946,0.72245,0.55279,0.59719,0.40039,1.25685,1.39041,1.28108,0.0006832,0.0006832,0.0006832
26,6143.4,1.14676,1.20375,1.20863,0.71006,0.57905,0.61014,0.40918,1.26661,1.37391,1.29658,0.00067,0.00067,0.00067
27,6377.95,1.13483,1.18854,1.19939,0.67858,0.57267,0.59823,0.40304,1.26667,1.42376,1.29554,0.0006568,0.0006568,0.0006568
28,6613.62,1.12706,1.18192,1.19236,0.71586,0.55749,0.60404,0.4054,1.26569,1.40084,1.29871,0.0006436,0.0006436,0.0006436
29,6849.83,1.10168,1.1501,1.18081,0.69327,0.55997,0.58852,0.39796,1.25449,1.43972,1.29062,0.0006304,0.0006304,0.0006304
30,7085.19,1.09308,1.13082,1.17385,0.72095,0.55519,0.59319,0.39845,1.25205,1.43471,1.2954,0.0006172,0.0006172,0.0006172
31,7319.99,1.09174,1.12289,1.17192,0.71351,0.53727,0.58684,0.39305,1.26029,1.43912,1.30293,0.000604,0.000604,0.000604
32,7554.93,1.07737,1.10171,1.1655,0.71219,0.53898,0.58504,0.39139,1.26842,1.46262,1.30067,0.0005908,0.0005908,0.0005908
33,7788.37,1.06706,1.09681,1.1595,0.71553,0.55236,0.6024,0.40368,1.26385,1.40765,1.30259,0.0005776,0.0005776,0.0005776
34,8023.7,1.05923,1.07784,1.15291,0.73264,0.54728,0.59942,0.40535,1.28312,1.41713,1.32913,0.0005644,0.0005644,0.0005644
35,8259.7,1.04348,1.05561,1.14777,0.70191,0.56216,0.5886,0.39546,1.26479,1.45248,1.30695,0.0005512,0.0005512,0.0005512
36,8495.22,1.03827,1.0533,1.14002,0.7003,0.54231,0.58635,0.39401,1.2805,1.43319,1.3199,0.000538,0.000538,0.000538
37,8730.61,1.03647,1.03999,1.1433,0.71477,0.54142,0.58216,0.39613,1.2737,1.45666,1.32123,0.0005248,0.0005248,0.0005248
38,8964.69,1.02535,1.02425,1.1359,0.73203,0.53855,0.59082,0.40064,1.26183,1.4605,1.31036,0.0005116,0.0005116,0.0005116
39,9198.92,1.01706,1.00237,1.12813,0.72217,0.53428,0.58479,0.39714,1.26258,1.46725,1.32055,0.0004984,0.0004984,0.0004984
40,9435.04,1.00998,0.99711,1.12557,0.71088,0.55165,0.58594,0.39775,1.26623,1.46053,1.31054,0.0004852,0.0004852,0.0004852
