epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,210.335,0.36416,7.19864,0,0.75698,0.07143,0.07876,0.02328,0.36701,6.68962,0,0.000333148,0.000333148,0.0670183
2,427.868,0.33176,6.39064,0,0.16041,0.15431,0.07634,0.0242,0.34747,6.29235,0,0.000653285,0.000653285,0.0340051
3,635.994,0.31605,6.01859,0,0.16243,0.18797,0.09071,0.03129,0.32965,6.10033,0,0.000960222,0.000960222,0.000978741
4,843.525,0.30167,5.74117,0,0.16916,0.24066,0.11819,0.04431,0.31377,5.77657,0,0.0009406,0.0009406,0.0009406
5,1051.96,0.2924,5.5054,0,0.26158,0.26481,0.16932,0.06077,0.31338,5.61957,0,0.0009208,0.0009208,0.0009208
6,1261.76,0.28525,5.289,0,0.22703,0.28106,0.1467,0.05559,0.29699,5.56141,0,0.000901,0.000901,0.000901
7,1472.57,0.27735,5.1002,0,0.23978,0.31589,0.15981,0.0611,0.2977,5.37121,0,0.0008812,0.0008812,0.0008812
8,1692.47,0.27,4.92684,0,0.22383,0.29805,0.15783,0.06466,0.29336,5.45538,0,0.0008614,0.0008614,0.0008614
9,1906.72,0.26576,4.75773,0,0.2558,0.32302,0.17859,0.07386,0.28966,5.30946,0,0.0008416,0.0008416,0.0008416
10,2118.34,0.26211,4.63148,0,0.25593,0.34737,0.19626,0.07994,0.28917,5.11892,0,0.0008218,0.0008218,0.0008218
11,2340.29,0.25767,4.51562,0,0.25557,0.34278,0.19232,0.07638,0.29139,5.29877,0,0.000802,0.000802,0.000802
12,2556.44,0.25427,4.38953,0,0.23444,0.3369,0.16513,0.07175,0.28459,5.26764,0,0.0007822,0.0007822,0.0007822
13,2769.84,0.25037,4.26491,0,0.26719,0.35374,0.19268,0.07874,0.2827,5.10082,0,0.0007624,0.0007624,0.0007624
14,2983.01,0.24763,4.15818,0,0.26994,0.33225,0.19744,0.08991,0.2864,5.2242,0,0.0007426,0.0007426,0.0007426
15,3195.76,0.24422,4.02566,0,0.29978,0.32332,0.21217,0.09448,0.28393,5.20922,0,0.0007228,0.0007228,0.0007228
16,3404.74,0.24289,3.91068,0,0.24567,0.33339,0.17711,0.0739,0.29185,5.39483,0,0.000703,0.000703,0.000703
17,3614.55,0.24183,3.8171,0,0.27097,0.31258,0.1754,0.0789,0.28948,5.4197,0,0.0006832,0.0006832,0.0006832
18,3824.3,0.24029,3.72413,0,0.25205,0.33096,0.18274,0.07643,0.29499,5.35213,0,0.0006634,0.0006634,0.0006634
19,4033.28,0.23774,3.62316,0,0.26083,0.35613,0.17628,0.07652,0.28326,5.42163,0,0.0006436,0.0006436,0.0006436
20,4242.56,0.23688,3.50885,0,0.27334,0.33972,0.18723,0.07822,0.28795,5.3581,0,0.0006238,0.0006238,0.0006238
21,4452.04,0.23297,3.38522,0,0.26836,0.32834,0.17377,0.0742,0.29333,5.48545,0,0.000604,0.000604,0.000604
22,4660.87,0.23151,3.29938,0,0.26104,0.32765,0.17535,0.07538,0.29164,5.54709,0,0.0005842,0.0005842,0.0005842
23,4869.26,0.23072,3.17979,0,0.23945,0.3272,0.15168,0.06546,0.29279,5.7346,0,0.0005644,0.0005644,0.0005644
