epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,274.732,0.33424,3.93484,0,0.3533,0.24001,0.19213,0.07953,0.29145,3.61899,0,0.00499813,0.00499813,0.0550168
2,542.018,0.25596,2.91856,0,0.38061,0.23489,0.20223,0.09112,0.27511,4.4709,0,0.0096022,0.0096022,0.0096209
3,815.721,0.2428,2.69994,0,0.37414,0.27821,0.24161,0.10854,0.25799,3.29546,0,0.009208,0.009208,0.009208
4,1089.3,0.23343,2.50985,0,0.42303,0.26043,0.22136,0.10236,0.25901,4.25509,0,0.008812,0.008812,0.008812
5,1360.17,0.22665,2.38157,0,0.42555,0.23503,0.22877,0.10237,0.26399,5.28338,0,0.008416,0.008416,0.008416
6,1631.26,0.22084,2.25906,0,0.44582,0.25858,0.25092,0.11619,0.25072,4.00049,0,0.00802,0.00802,0.00802
7,1901.89,0.2167,2.16841,0,0.46042,0.29085,0.2935,0.13754,0.24339,3.03337,0,0.007624,0.007624,0.007624
8,2172.35,0.21212,2.08128,0,0.47749,0.24543,0.24942,0.11818,0.25262,4.29109,0,0.007228,0.007228,0.007228
9,2444.44,0.20911,2.00915,0,0.40119,0.26763,0.24961,0.11532,0.25921,4.86742,0,0.006832,0.006832,0.006832
10,2714.22,0.20628,1.94026,0,0.47012,0.28559,0.29066,0.13898,0.24404,3.57662,0,0.006436,0.006436,0.006436
11,2984.73,0.20305,1.87433,0,0.48411,0.23734,0.2655,0.1278,0.25231,4.68773,0,0.00604,0.00604,0.00604
12,3264.13,0.2007,1.8131,0,0.44721,0.28216,0.27607,0.12987,0.25142,4.17124,0,0.005644,0.005644,0.005644
13,3538.98,0.19838,1.75774,0,0.62333,0.20612,0.277,0.13374,0.2528,4.81939,0,0.005248,0.005248,0.005248
14,3811.71,0.19537,1.70199,0,0.46891,0.27511,0.28269,0.13512,0.25236,4.48699,0,0.004852,0.004852,0.004852
15,4083.98,0.193,1.65258,0,0.48021,0.28417,0.29275,0.138,0.24404,3.7756,0,0.004456,0.004456,0.004456
