epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.684,0.30665,5.69637,0,0.26662,0.31847,0.21426,0.07378,0.31804,4.89609,0,0.000333091,0.000333091,0.067024
2,251.592,0.28372,5.11406,0,0.28741,0.32662,0.27164,0.09418,0.29011,4.68048,0,0.000644432,0.000644432,0.034002
3,373.937,0.27231,4.86411,0,0.41674,0.38792,0.34592,0.13504,0.28258,4.33045,0,0.000933773,0.000933773,0.000958051
4,497.404,0.26726,4.70417,0,0.54348,0.39699,0.41198,0.16962,0.27595,4.15297,0,0.000901,0.000901,0.000901
5,621.01,0.25997,4.5461,0,0.51914,0.45298,0.46361,0.19372,0.2742,3.96828,0,0.000868,0.000868,0.000868
6,744.902,0.25154,4.35028,0,0.57075,0.47772,0.4863,0.20457,0.26319,3.72547,0,0.000835,0.000835,0.000835
7,870.359,0.25077,4.22727,0,0.54735,0.46506,0.48137,0.20833,0.26235,3.72257,0,0.000802,0.000802,0.000802
8,995.147,0.24515,4.14102,0,0.52018,0.47708,0.46181,0.20892,0.25696,3.6419,0,0.000769,0.000769,0.000769
9,1124.67,0.24198,4.0461,0,0.55056,0.49106,0.50144,0.23815,0.2547,3.57681,0,0.000736,0.000736,0.000736
10,1250.12,0.23989,3.91142,0,0.59513,0.50954,0.53341,0.24626,0.25378,3.43304,0,0.000703,0.000703,0.000703
11,1374.38,0.23496,3.8222,0,0.61051,0.48579,0.51797,0.25319,0.24786,3.39716,0,0.00067,0.00067,0.00067
12,1497.23,0.23194,3.71856,0,0.6794,0.52235,0.58195,0.28536,0.24857,3.31015,0,0.000637,0.000637,0.000637
13,1619.69,0.22949,3.65939,0,0.64665,0.54298,0.57839,0.28305,0.24377,3.28833,0,0.000604,0.000604,0.000604
14,1741.13,0.23045,3.57797,0,0.69023,0.54156,0.60518,0.29866,0.24668,3.19569,0,0.000571,0.000571,0.000571
15,1859.34,0.22761,3.52386,0,0.69573,0.56036,0.61466,0.30963,0.24122,3.15697,0,0.000538,0.000538,0.000538
16,1978.89,0.22411,3.41667,0,0.68184,0.54114,0.6015,0.30318,0.24181,3.13263,0,0.000505,0.000505,0.000505
17,2098.65,0.2212,3.36425,0,0.66365,0.5904,0.61643,0.31097,0.2415,3.0689,0,0.000472,0.000472,0.000472
18,2221.47,0.22107,3.29314,0,0.63766,0.57784,0.59492,0.30051,0.24151,3.10963,0,0.000439,0.000439,0.000439
19,2344.67,0.21835,3.21574,0,0.6778,0.5702,0.62433,0.32363,0.23787,2.99795,0,0.000406,0.000406,0.000406
20,2468.91,0.21722,3.1822,0,0.71086,0.55296,0.61842,0.31778,0.23759,3.02966,0,0.000373,0.000373,0.000373
21,2592.18,0.21505,3.10185,0,0.68025,0.59065,0.63058,0.32494,0.2366,2.96941,0,0.00034,0.00034,0.00034
22,2712,0.21345,3.07954,0,0.72851,0.5618,0.63398,0.32451,0.24131,3.00542,0,0.000307,0.000307,0.000307
23,2830.47,0.21144,3.00214,0,0.69905,0.58335,0.63748,0.32816,0.23566,2.90941,0,0.000274,0.000274,0.000274
24,2949.79,0.21063,2.94261,0,0.73282,0.57525,0.65143,0.33857,0.238,2.90878,0,0.000241,0.000241,0.000241
25,3068.9,0.20672,2.88962,0,0.72005,0.59403,0.66068,0.3518,0.23338,2.89265,0,0.000208,0.000208,0.000208
26,3188.11,0.20531,2.80512,0,0.72437,0.58748,0.63774,0.32779,0.23487,2.93463,0,0.000175,0.000175,0.000175
27,3306.92,0.20293,2.75758,0,0.71754,0.61302,0.65728,0.34453,0.23742,2.87687,0,0.000142,0.000142,0.000142
28,3425.55,0.20193,2.73715,0,0.7022,0.59894,0.65357,0.34818,0.23287,2.83874,0,0.000109,0.000109,0.000109
29,3543.32,0.19965,2.68355,0,0.69054,0.62282,0.65334,0.34856,0.23315,2.84999,0,7.6e-05,7.6e-05,7.6e-05
30,3661.62,0.19822,2.63497,0,0.744,0.58253,0.655,0.34942,0.23401,2.85358,0,4.3e-05,4.3e-05,4.3e-05
