epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.396,2.58475,1.93402,1.66808,0.58668,0.37226,0.40833,0.16866,2.09557,1.39682,1.41429,0.000332381,0.000332381,0.0670943
2,163.627,2.08568,1.43721,1.41746,0.71172,0.4183,0.49676,0.2434,1.81156,1.17531,1.29705,0.000652533,0.000652533,0.0340811
3,212.683,1.99176,1.32797,1.34887,0.70228,0.41662,0.49327,0.25277,1.74105,1.12704,1.25002,0.000959485,0.000959485,0.00105472
4,261.123,1.88006,1.24122,1.29875,0.72722,0.47951,0.54565,0.27019,1.6825,1.0859,1.21853,0.0009406,0.0009406,0.0009406
5,310.051,1.82592,1.19829,1.27911,0.72245,0.46767,0.5448,0.28805,1.63612,1.01894,1.21144,0.0009208,0.0009208,0.0009208
6,358.653,1.77515,1.15359,1.24818,0.71606,0.4602,0.54577,0.30103,1.5803,1.01679,1.17144,0.000901,0.000901,0.000901
7,407.082,1.70519,1.09735,1.23599,0.75307,0.48287,0.5566,0.30166,1.57635,0.96485,1.18212,0.0008812,0.0008812,0.0008812
8,455.206,1.71356,1.10056,1.23029,0.71838,0.49271,0.56442,0.31141,1.52862,0.97575,1.15347,0.0008614,0.0008614,0.0008614
9,502.913,1.67307,1.06655,1.21102,0.74163,0.48737,0.55349,0.30925,1.55103,0.97362,1.16606,0.0008416,0.0008416,0.0008416
10,551.376,1.63037,1.02418,1.20145,0.7792,0.47951,0.57596,0.32629,1.49801,0.90007,1.15272,0.0008218,0.0008218,0.0008218
11,599.273,1.61431,1.00701,1.18544,0.75307,0.49691,0.57235,0.32143,1.4936,0.90373,1.14184,0.000802,0.000802,0.000802
12,647.428,1.60147,0.999,1.17921,0.75546,0.51488,0.5895,0.33902,1.43895,0.87888,1.11611,0.0007822,0.0007822,0.0007822
13,695.408,1.55529,0.96945,1.16276,0.76628,0.5087,0.59038,0.33266,1.44079,0.90555,1.1163,0.0007624,0.0007624,0.0007624
14,743.359,1.55691,0.97647,1.15607,0.7686,0.52778,0.60256,0.34649,1.40509,0.84739,1.10375,0.0007426,0.0007426,0.0007426
15,791.459,1.53092,0.9389,1.15077,0.78842,0.50842,0.60053,0.34274,1.42497,0.8324,1.10575,0.0007228,0.0007228,0.0007228
16,839.107,1.50178,0.91746,1.13843,0.74764,0.52564,0.59554,0.34298,1.44446,0.84947,1.11348,0.000703,0.000703,0.000703
17,887.515,1.52749,0.91745,1.14406,0.78224,0.52106,0.60948,0.34966,1.40826,0.81568,1.09824,0.0006832,0.0006832,0.0006832
18,935.195,1.47781,0.9108,1.11891,0.78536,0.5136,0.60838,0.3546,1.39612,0.8218,1.09344,0.0006634,0.0006634,0.0006634
19,983.507,1.49157,0.91668,1.12793,0.75236,0.52892,0.60693,0.35434,1.39649,0.80809,1.0967,0.0006436,0.0006436,0.0006436
20,1031.12,1.47947,0.90934,1.12018,0.76683,0.52627,0.61265,0.35629,1.37194,0.81863,1.088,0.0006238,0.0006238,0.0006238
21,1079.45,1.45726,0.89247,1.1086,0.76292,0.52038,0.60602,0.36122,1.3609,0.7889,1.08649,0.000604,0.000604,0.000604
22,1127.74,1.45252,0.873,1.10796,0.80755,0.52539,0.62043,0.3631,1.36778,0.80398,1.0825,0.0005842,0.0005842,0.0005842
23,1175.6,1.43714,0.85904,1.10545,0.80737,0.51538,0.61555,0.36411,1.36444,0.78701,1.07868,0.0005644,0.0005644,0.0005644
24,1223.44,1.4401,0.85653,1.09853,0.782,0.52667,0.61848,0.36116,1.37615,0.80175,1.08464,0.0005446,0.0005446,0.0005446
25,1271.37,1.40773,0.85077,1.09343,0.76314,0.53734,0.62019,0.3678,1.35231,0.7847,1.07646,0.0005248,0.0005248,0.0005248
26,1319.31,1.40084,0.84534,1.08239,0.78491,0.53958,0.61909,0.36797,1.36185,0.7721,1.07084,0.000505,0.000505,0.000505
27,1367.06,1.3946,0.82919,1.08078,0.82299,0.5306,0.63046,0.36719,1.35639,0.761,1.07815,0.0004852,0.0004852,0.0004852
28,1415.13,1.36968,0.82179,1.07242,0.78878,0.54239,0.62613,0.3735,1.34487,0.77123,1.06947,0.0004654,0.0004654,0.0004654
29,1463.33,1.36008,0.81097,1.06685,0.81247,0.52892,0.62868,0.37116,1.34926,0.75693,1.07727,0.0004456,0.0004456,0.0004456
30,1511.21,1.33726,0.79576,1.05595,0.78478,0.53641,0.62483,0.37528,1.35283,0.75321,1.0703,0.0004258,0.0004258,0.0004258
31,1559.6,1.34322,0.79575,1.05739,0.78278,0.53678,0.62448,0.37083,1.34481,0.75416,1.07555,0.000406,0.000406,0.000406
32,1608.09,1.32355,0.78219,1.05383,0.75729,0.56148,0.63516,0.38144,1.3269,0.74149,1.06245,0.0003862,0.0003862,0.0003862
33,1656.33,1.33587,0.78916,1.04931,0.81945,0.52442,0.62909,0.38068,1.31362,0.73965,1.05733,0.0003664,0.0003664,0.0003664
34,1704.8,1.31337,0.78011,1.04702,0.79494,0.53565,0.63224,0.38166,1.32978,0.74019,1.06747,0.0003466,0.0003466,0.0003466
35,1752.95,1.31974,0.76861,1.04281,0.81351,0.54408,0.63699,0.38281,1.32001,0.75939,1.05922,0.0003268,0.0003268,0.0003268
36,1801.31,1.3025,0.76603,1.0442,0.82189,0.53678,0.63405,0.38202,1.31419,0.73236,1.057,0.000307,0.000307,0.000307
37,1849.54,1.28414,0.74537,1.03146,0.80733,0.53958,0.62802,0.37817,1.33063,0.7415,1.06719,0.0002872,0.0002872,0.0002872
38,1897.25,1.29035,0.75522,1.03668,0.80106,0.54688,0.63705,0.3831,1.30911,0.73672,1.05649,0.0002674,0.0002674,0.0002674
39,1945.68,1.28091,0.74069,1.02979,0.79437,0.54239,0.62773,0.38046,1.31694,0.74129,1.05576,0.0002476,0.0002476,0.0002476
40,1993.88,1.27554,0.74236,1.0282,0.79702,0.5525,0.64047,0.3847,1.30952,0.72715,1.05939,0.0002278,0.0002278,0.0002278
41,2040.65,1.24662,0.69599,1.01915,0.79472,0.55211,0.63738,0.38194,1.31815,0.73644,1.06146,0.000208,0.000208,0.000208
42,2087.21,1.24123,0.69257,1.02435,0.7628,0.55643,0.62793,0.38038,1.32436,0.74145,1.06027,0.0001882,0.0001882,0.0001882
