epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,423.239,2.84941,2.2996,1.17457,0.2997,0.24424,0.1782,0.05802,2.74041,3.2447,1.10961,0.000553814,0.000553814,0.000553814
2,844.055,2.5849,1.8842,1.07583,0.35815,0.29221,0.24075,0.07728,2.67693,2.5721,1.05955,0.0010985,0.0010985,0.0010985
3,1262.48,2.49026,1.79945,1.05107,0.45386,0.35576,0.32881,0.11967,2.41181,1.82538,1.00592,0.00163218,0.00163218,0.00163218
4,1672.26,2.37698,1.67105,1.01668,0.47737,0.38839,0.36046,0.13326,2.33908,1.63188,0.99417,0.00161749,0.00161749,0.00161749
5,2088.52,2.28881,1.58052,0.99988,0.48969,0.38459,0.37344,0.14758,2.25609,1.62072,0.97522,0.00160099,0.00160099,0.00160099
6,2507.77,2.21587,1.51689,0.98025,0.53977,0.41793,0.41004,0.15556,2.22937,1.45041,0.96586,0.00158448,0.00158448,0.00158448
7,2923.08,2.15946,1.45206,0.97141,0.5266,0.41519,0.40454,0.16416,2.19639,1.47047,0.96302,0.00156798,0.00156798,0.00156798
8,3332.19,2.10425,1.41482,0.96363,0.55963,0.42829,0.42461,0.16938,2.145,1.4323,0.94842,0.00155148,0.00155148,0.00155148
9,3743.84,2.09567,1.38077,0.95464,0.58619,0.42672,0.43304,0.17872,2.15217,1.39521,0.94566,0.00153497,0.00153497,0.00153497
10,4145.41,2.0583,1.32976,0.94319,0.5964,0.45282,0.46721,0.18989,2.11869,1.34265,0.94965,0.00151847,0.00151847,0.00151847
11,4549.03,2.03423,1.32956,0.94147,0.57117,0.47063,0.4694,0.19365,2.07191,1.38281,0.93755,0.00150197,0.00150197,0.00150197
12,4951.69,2.02471,1.31104,0.93387,0.58524,0.44344,0.46388,0.19768,2.06811,1.32089,0.93562,0.00148546,0.00148546,0.00148546
13,5365.45,1.98995,1.27631,0.92863,0.61302,0.43497,0.46432,0.19496,2.08136,1.34798,0.93259,0.00146896,0.00146896,0.00146896
14,5778.65,1.96747,1.25334,0.92296,0.59979,0.47424,0.48677,0.1999,2.02631,1.30748,0.93004,0.00145246,0.00145246,0.00145246
15,6193.21,1.94038,1.23655,0.92182,0.62132,0.46911,0.49958,0.21342,2.02077,1.28431,0.92446,0.00143595,0.00143595,0.00143595
16,6602.51,1.92511,1.20649,0.91395,0.58338,0.4936,0.50306,0.21387,1.99479,1.26012,0.92277,0.00141945,0.00141945,0.00141945
17,7011.98,1.89879,1.19032,0.91081,0.61201,0.49547,0.51008,0.21312,2.01099,1.25258,0.93219,0.00140295,0.00140295,0.00140295
18,7426.94,1.87345,1.15956,0.91158,0.6124,0.49572,0.51329,0.21684,1.96137,1.24097,0.91349,0.00138644,0.00138644,0.00138644
19,7834.95,1.86902,1.15029,0.90394,0.6108,0.50429,0.51811,0.21977,1.98708,1.22699,0.91685,0.00136994,0.00136994,0.00136994
20,8237.87,1.83851,1.12988,0.90283,0.61646,0.4953,0.51533,0.22082,1.97538,1.24302,0.91599,0.00135344,0.00135344,0.00135344
21,8645.27,1.84777,1.12216,0.89807,0.62665,0.50058,0.52799,0.22507,1.95588,1.20166,0.9181,0.00133693,0.00133693,0.00133693
22,9052.84,1.82481,1.10483,0.89272,0.64855,0.49974,0.53252,0.23131,1.96247,1.19609,0.91263,0.00132043,0.00132043,0.00132043
23,9450.23,1.7802,1.07441,0.88842,0.62913,0.50326,0.52354,0.22936,1.9393,1.20119,0.90991,0.00130393,0.00130393,0.00130393
24,9849.04,1.79605,1.06756,0.88348,0.64151,0.51893,0.53031,0.22722,1.97793,1.2091,0.91833,0.00128742,0.00128742,0.00128742
25,10247.8,1.7752,1.04949,0.88582,0.63441,0.51649,0.53584,0.22981,1.96987,1.19651,0.92021,0.00127092,0.00127092,0.00127092
26,10649.6,1.75034,1.04214,0.88051,0.62565,0.51087,0.52591,0.22808,1.94918,1.20155,0.91429,0.00125442,0.00125442,0.00125442
27,11051.2,1.73646,1.02527,0.87711,0.62366,0.52298,0.53857,0.23258,1.93832,1.17805,0.91044,0.00123791,0.00123791,0.00123791
28,11452.3,1.73645,1.01122,0.87406,0.6313,0.51655,0.53412,0.23287,1.94756,1.18229,0.91815,0.00122141,0.00122141,0.00122141
29,11839.4,1.7132,0.99783,0.87247,0.64554,0.51456,0.54906,0.2371,1.94049,1.177,0.91108,0.00120491,0.00120491,0.00120491
30,12228.9,1.71772,0.98806,0.86898,0.65451,0.52506,0.54986,0.23843,1.94623,1.16101,0.91782,0.0011884,0.0011884,0.0011884
31,12615.7,1.68134,0.97169,0.86977,0.64661,0.52818,0.54158,0.23608,1.93425,1.16742,0.91093,0.0011719,0.0011719,0.0011719
32,13002.3,1.67546,0.96781,0.86542,0.64609,0.52391,0.54989,0.23944,1.92803,1.16599,0.91001,0.0011554,0.0011554,0.0011554
33,13389.6,1.65806,0.94305,0.86216,0.63798,0.53311,0.55237,0.23926,1.91545,1.16264,0.90579,0.00113889,0.00113889,0.00113889
34,13779.3,1.64891,0.94066,0.86032,0.63268,0.52288,0.54239,0.23394,1.93334,1.15498,0.91394,0.00112239,0.00112239,0.00112239
35,14159.9,1.63098,0.92182,0.8584,0.62028,0.53701,0.54764,0.23729,1.9271,1.16661,0.91526,0.00110589,0.00110589,0.00110589
36,14548.9,1.61813,0.90997,0.85592,0.63235,0.53796,0.54901,0.23658,1.92891,1.16125,0.91523,0.00108938,0.00108938,0.00108938
37,14937.9,1.62113,0.91326,0.85766,0.6365,0.54575,0.55237,0.2412,1.93084,1.15778,0.91235,0.00107288,0.00107288,0.00107288
38,15315.1,1.60263,0.8979,0.85365,0.63855,0.54292,0.55078,0.24063,1.90902,1.1286,0.91537,0.00105638,0.00105638,0.00105638
39,15691.1,1.58282,0.88284,0.85292,0.63353,0.53376,0.55099,0.24167,1.92065,1.16167,0.91227,0.00103987,0.00103987,0.00103987
40,16076.7,1.58434,0.87582,0.84839,0.63337,0.54024,0.54409,0.23963,1.90676,1.15448,0.90679,0.00102337,0.00102337,0.00102337
41,16460.9,1.55333,0.85485,0.84521,0.65079,0.52872,0.55369,0.2401,1.91804,1.14979,0.91108,0.00100687,0.00100687,0.00100687
42,16861.5,1.52975,0.84212,0.84457,0.64514,0.53338,0.55146,0.24099,1.92058,1.16314,0.91034,0.000990365,0.000990365,0.000990365
43,17261.4,1.52538,0.84013,0.8417,0.64212,0.53979,0.55297,0.23993,1.92201,1.16056,0.91281,0.000973861,0.000973861,0.000973861
44,17649.8,1.51911,0.82937,0.84244,0.64119,0.53907,0.55618,0.24214,1.91486,1.1466,0.90897,0.000957358,0.000957358,0.000957358
45,18035.3,1.51284,0.82223,0.83832,0.64359,0.54002,0.54671,0.23908,1.91541,1.15104,0.91003,0.000940855,0.000940855,0.000940855
46,18416.5,1.49616,0.81214,0.83556,0.65041,0.53136,0.54645,0.2387,1.91288,1.16021,0.90869,0.000924352,0.000924352,0.000924352
47,18801.5,1.47178,0.79484,0.83167,0.63532,0.54817,0.55568,0.24373,1.90897,1.14058,0.91257,0.000907848,0.000907848,0.000907848
48,19184.9,1.48176,0.79969,0.83268,0.65966,0.53497,0.55695,0.24042,1.92004,1.15745,0.90873,0.000891345,0.000891345,0.000891345
49,19560.2,1.45524,0.77902,0.83301,0.64311,0.54411,0.55156,0.24036,1.92932,1.15602,0.91496,0.000874842,0.000874842,0.000874842
50,19933,1.43362,0.7664,0.82903,0.63526,0.54183,0.54506,0.23657,1.93962,1.16087,0.91709,0.000858338,0.000858338,0.000858338
51,20318.7,1.43333,0.77202,0.82783,0.6431,0.54528,0.55395,0.23722,1.93917,1.17028,0.91794,0.000841835,0.000841835,0.000841835
52,20695.5,1.42723,0.76398,0.8259,0.64524,0.53807,0.55307,0.23981,1.93092,1.16208,0.91628,0.000825332,0.000825332,0.000825332
53,21065.4,1.39717,0.74612,0.82346,0.6538,0.53277,0.55001,0.23866,1.9412,1.18282,0.9214,0.000808828,0.000808828,0.000808828
54,21443.9,1.39007,0.73692,0.82419,0.65711,0.53225,0.55167,0.23993,1.93677,1.17792,0.91782,0.000792325,0.000792325,0.000792325
55,21826.7,1.38048,0.73461,0.82222,0.64585,0.54758,0.55889,0.24208,1.92941,1.16867,0.91777,0.000775822,0.000775822,0.000775822
56,22207,1.38392,0.73174,0.82125,0.64981,0.5403,0.55471,0.23899,1.93222,1.15243,0.91253,0.000759318,0.000759318,0.000759318
57,22586.3,1.34947,0.71449,0.81924,0.64485,0.54081,0.55225,0.23981,1.94455,1.18697,0.91593,0.000742815,0.000742815,0.000742815
58,22968.7,1.3416,0.70531,0.81782,0.6499,0.54287,0.55639,0.24155,1.93066,1.1686,0.91252,0.000726312,0.000726312,0.000726312
59,23347.4,1.32297,0.69032,0.81596,0.66066,0.53941,0.5571,0.24181,1.92933,1.16173,0.91525,0.000709809,0.000709809,0.000709809
60,23725.7,1.32677,0.69639,0.81603,0.63852,0.54292,0.54555,0.23853,1.93786,1.1714,0.91931,0.000693305,0.000693305,0.000693305
61,24104.8,1.31454,0.68407,0.81422,0.64923,0.54461,0.55134,0.23828,1.9371,1.17729,0.91978,0.000676802,0.000676802,0.000676802
62,24487,1.3048,0.67866,0.81408,0.66287,0.5423,0.55531,0.23799,1.94145,1.1887,0.9186,0.000660299,0.000660299,0.000660299
63,24870.3,1.29752,0.66968,0.81125,0.65642,0.53636,0.54685,0.2382,1.93176,1.18133,0.91835,0.000643795,0.000643795,0.000643795
64,25252.1,1.27223,0.65969,0.81026,0.65234,0.54687,0.54956,0.23921,1.92968,1.18638,0.91956,0.000627292,0.000627292,0.000627292
65,25634.7,1.27261,0.65804,0.80863,0.63501,0.55709,0.55144,0.23774,1.93513,1.1879,0.91946,0.000610789,0.000610789,0.000610789
66,26017.7,1.26626,0.6511,0.80811,0.65546,0.54174,0.55201,0.23982,1.93461,1.17595,0.92025,0.000594286,0.000594286,0.000594286
67,26401.7,1.24439,0.64376,0.8048,0.64836,0.54439,0.55162,0.23696,1.93891,1.19722,0.92238,0.000577782,0.000577782,0.000577782
