epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.208,0.51763,5.74251,0,0.21132,0.23803,0.12201,0.02928,0.4526,4.18427,0,0.000332593,0.000332593,0.0670733
2,76.2462,0.41461,3.90864,0,0.40982,0.29539,0.26973,0.089,0.39067,3.52156,0,0.000650943,0.000650943,0.0340584
3,112.983,0.36525,3.31856,0,0.52413,0.35052,0.36064,0.13077,0.35352,3.22843,0,0.000954293,0.000954293,0.00102837
4,149.714,0.33613,2.97448,0,0.56133,0.37775,0.40916,0.15847,0.33089,3.02128,0,0.0009325,0.0009325,0.0009325
5,186.238,0.31393,2.74472,0,0.58864,0.40664,0.4298,0.16973,0.31935,3.01158,0,0.00091,0.00091,0.00091
6,223.117,0.29807,2.58947,0,0.61947,0.39974,0.44245,0.18691,0.31206,2.8135,0,0.0008875,0.0008875,0.0008875
7,259.748,0.28712,2.46754,0,0.6697,0.40448,0.45984,0.19696,0.3068,2.71749,0,0.000865,0.000865,0.000865
8,295.696,0.27657,2.3686,0,0.66832,0.41052,0.46388,0.19895,0.29786,2.65329,0,0.0008425,0.0008425,0.0008425
9,331.671,0.26776,2.27906,0,0.67518,0.41095,0.46546,0.20108,0.29294,2.61819,0,0.00082,0.00082,0.00082
10,367.011,0.26023,2.20286,0,0.67906,0.41225,0.46819,0.20624,0.28533,2.61597,0,0.0007975,0.0007975,0.0007975
11,402.253,0.25372,2.13753,0,0.68817,0.41492,0.47013,0.21273,0.28581,2.58566,0,0.000775,0.000775,0.000775
12,437.581,0.24879,2.07976,0,0.68667,0.41871,0.47648,0.21304,0.28138,2.52292,0,0.0007525,0.0007525,0.0007525
13,472.909,0.24247,2.02356,0,0.67115,0.43165,0.47985,0.21763,0.28074,2.49075,0,0.00073,0.00073,0.00073
14,508.05,0.23721,1.97777,0,0.66313,0.4295,0.47297,0.21287,0.27586,2.49524,0,0.0007075,0.0007075,0.0007075
15,543.322,0.23405,1.93787,0,0.69595,0.4333,0.48967,0.2233,0.27281,2.45958,0,0.000685,0.000685,0.000685
16,578.758,0.23015,1.89385,0,0.7116,0.40707,0.47586,0.21398,0.27374,2.46953,0,0.0006625,0.0006625,0.0006625
17,614.253,0.22553,1.84571,0,0.67997,0.42777,0.48293,0.21629,0.26979,2.47049,0,0.00064,0.00064,0.00064
18,649.715,0.2237,1.8229,0,0.71249,0.41527,0.4806,0.21716,0.27335,2.44959,0,0.0006175,0.0006175,0.0006175
19,685.064,0.22168,1.79739,0,0.67849,0.4213,0.47927,0.22237,0.26937,2.43156,0,0.000595,0.000595,0.000595
20,720.489,0.21767,1.76252,0,0.70397,0.42173,0.48659,0.22124,0.26983,2.4423,0,0.0005725,0.0005725,0.0005725
